Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY
شو شكلك تعبان,ايه والله ما نمت مبارح منيح,ايه شكلك تعبان,اه والله مانمتش من امبارح كويس
شفت حادث السير لي صار مبارح؟,"ايه شفتو, اخدو الركاب عل المستشفى و في واحد بدو عملية",شفت حدثة السواقة الي حصلت امبارح ؟,"اه شفته, اخدو الركاب على المستشفى وفي واحد محتاج عملية"
كل عام و انت بخير,وانت بخير يا قليي,كل عام و انت بخير,وانت بخير يا قليي
شو شكلك حبيتا,ايه ما بتخيل حياتي من دونها,ايه شكلك حبيتها,ايه مش متخيل حياتي من غيرها
عرفت انو صديقي فات عالحبس,يا لطيف! شو التهمة؟,عرفت انو صحبي دخل السجن,يا لطيف! ايه التهمة؟
خسر وظيفته وكل شي بيملكو,هيك الدنيا يوم الك ويوم عليك,خسر شغله وكل املاكه,الدنيا كدة يوم ليك ويوم عليك
"لازم شوفك اليوم, عندك شي المسا؟","اليوم المسا مش فاضي, بتقدر تأجلها لبكرا؟","لازم اشوفك انهردة, عندك حاجة بليل؟","اليوم بليل مش فاضي, تقدر تأجلها لبكرا؟"
معك محرمة؟,ايه تفضل. شو مغرب؟,معاك منديل ؟,اه تفضل. ايه بردان؟
تروحو عل السينيما نهار الأحد بليل؟,"منشوف, بس يمكن بابا ما بيقدر يروح",تروحو عل السينيما يوم الأحد بليل؟,"حنشوف, بس ممكن بابا ما يقدرش يروح"
انا مسافر برحلة حول العالم بالصيف,مستحيل! انشاالله بتتهنا,انا مسافر في رحلة حولين العالم في الصيف,مستحيل! انشاالله تتهنا
"طالعين على فاريا نهار الأحد, بتحب تجي معنا؟",شكرا بس عندي مشرو ع غير ما بقدر,"طالعين على فاريا يوم الحد, تحب تيجي معنا؟",شكرا بس عندي مشروع غير مقدرش
كيف الوظيفة الجديدة؟,الحمدلله مريحة كتير,ايه اخبار الشغل الجديد ؟,الحمدلله مريحة جدا
"صباح الخير, كيفك اليوم؟","احسن من مبارح, بس بعدني مريض","صباخ الخير, ايه اخبارك انهردة؟","احسن من امبارح, بس لسة تعبان"
وين حتحضر الكلاسيكو؟,ما بعتقد حأحضرها ما بحب الفوتبول,حتتفرج على الكلاسيكو فين,ماعتقدش حتفرج عليها ما بحبش الكورة
كيف حاسس؟,موتر كتير!,حاسس بايه,متوتر جامد
مش قادر صدق انو خسرت!,بسيطة الحظ مكان معك,مش قادر اصدق اني خسرت!,بسيطة الحظ مكنش معاك
بدك مساعدة؟,"لا شكرا, بعرف اتصرف لحالي",عايزني اساعدك؟,"لا شكرا,بعرف اتصرف لوحدي"
بعدك قادر تسمعني؟,ايه سامعك بس بتقدر تعيد اخر جملة؟,لسة قادر تسمعني؟,اه سامعك بس تقدر تعيد اخر جملة؟
يا زلمة حأخوت حجن! مش قادر اتحمل بقى!,روق روق روق! الموضوع مش مستاهل,ياراجل حتجنن! مش قادر استحمل بقى!,روق روق روق! الموضوع مش مستاهل
مبين عليك انك صايبك كآبة,لا مش كآبة علقت مع جاري مبارح بس,باين عليك انك صابتك الكآبة,لا مش كآبة اتخانقت مع جاري امبارح بس
مين هيدا لي واقف هونيك؟,هيدا الأستاذ الجديد,مين ده الي واقف هناك؟,ده الأستاذ الجديد
الأستاذ لغى الأمتحان,عم تمزح! واخيرا,الأستاذ لغى الأمتحان,بتهذر! واخيرا!
بتحب نحضر شي لبكرا؟,ايه ازا الطقس منيح منقضي النهار برا,تحب نحضر حاجة لبكرا؟,اه لو الجو كويس نقضي اليوم برا
تروح عل مكتبة معي؟,فكرة حلوة خلينا نروح,تروح على المكتبة معايا؟,فكرة حلوة خلينا نروح
ايمتى منقدر نعزمك عل عشا؟ شو رأيك الليلة؟,الليلة صعبة شوي لأن رايح على عرس رفيقي,امتى نقدر نعزمك على العشا؟ ايه رأيك في انهردة بليل؟,انهردة صعب شوية لأني رايح على فرح صحبي
مبين في بتمك حكي,عنجد؟ هلقد مبين عليي اني مبسوط؟,باين في كلام على لسانك,بجد! للدرجة ديه باين علية اني مبسوط؟
ايا رياضة بتحب اتابع اكتر شي؟,ما في شي محدد بحب تابع كل شي,ايه اكتر رياضة بتحب تتابعها ؟,مفيش حاجة محددة بحب اتابع كل حاجة
"صباح الخير, كيف كل شي معك؟","الحمدلله تمام, شكرا عل سؤال, كيفك انت؟","صباح الخير, ايه اخبار كل حاجة معاك؟","الحمدلله تمام, شكرا على السؤال, ايه اخبارك انت؟"
"يعطيك العافية, ممكن تساعدني بتدوير المكنة؟","الله يعافيك , اكيد ولو!",,"الله يعافيك, اكيد طبعا!"
"ما تخاف, خليك عم تجرب",ماشي شكرا,"متخفش, خليك بتجرب",ماشي شكرا
شو الألعاب لي كنت تحب تلعبا انت وصغير؟,كنت حب العب داما وشطرنج,ايه الألعاب الي كنت بتحب تلعبها وانت صغير؟,كنت احب العب داما وشطرنج
هيدول لي كانوا علقانين الأسبوع الماضي اطلقوا,"كنت متوقع يصير هيك, صار بيناتن مشاكل كتير اخر فترة",دول الي كانوا متخانقين الأسبوع الي فات اطلقوا,"كنت متوقع يحصل كدة, حصل بينهم مشاكل كتير اخر فترة"
شو رأيك بالزواج الي ما بينبنا على حب؟,الشي لي ما بينبنى على حب واحترام متبادل ما بينجح,ايه رأيك في الزواج الي مبيتبناش على حب؟,الشيء الي ما يتبناش على حب واحترام متبادل ما بينجحش
بتحب تسافر؟,بحب سفر السياحة بس سفر الشغل ابدا,بتحب تسافر؟,بحب سفر السياحة بس سفر الشغل خالص
شو انواع الخضرة لي زارعن بالجنينة؟,زارع تشكيلة منوعة! شو ما بيخطر على بالك!,ايه انواع الخضار الي زارعها في الجنينة؟,زارع تشكيلة متنوعة! اي حاجة تخطر على بالك!
كيف كان الطقس بالبلد الي جاي منو؟,بهل وقت من السنة بكون دف,ايه اخبار الجو في البلد اي كنت جاي منو؟,في الوقت ده من السنة بيكون دفا
يا الله! حأتخر عل موعد!,بشو بقدر ساعدك؟,يا الله! حأتخر على المعاد!,في ايه اقدر اساعدك؟
لازم تصير تزورنا اكتر,ما في شك! انشاالله بعطلة الربيع الجاي,لازم تبقى تزورنا اكتر,مفيش شك! انشاالله في اجازة الربيع الجاية
شو هيدا الشي؟,مش عارف خليني شوف,ايه الحاجة ديه؟,مش عارف خليني اشوف
اليوم عينوا مدير جديد بالشركة,اها! عقبال منشوفك انت المدير,انهردة مدير جديد في الشركة,اها! عقبال منشوفك انت المدير
الطقس حلو اليوم ايه؟,ايه بجنن!,الجو حلو انهردة صح؟,اه يجنن!
فاضي نهار الأحد لنروح عل ماراثون؟,ايه فاضي بس مش حابب روح,فاضي يوم الجد عشان نروح على المراثون؟,اه فاضي بس مش حابب اروح
شو عجبك الفبلم؟,لا ابدا! ما حبيتو ابدا,ايه عجبك الفبلم؟,لا ابدا! ماحبيتهوش ابدا
شو القصة ليه هلقد تعبان؟,والله ما في شي بس شويت ضغط من الشغل,ايه القصة ليه تعبان للدرجة ديه؟,والله مافيش بس شوية ضغط من الشغل
بتعرف انو شرب البيرة بخلي صوتك احلى؟,شو عم تحكي! مين خبرك هل حكي,تعرف ان شرب البيرة بيخلي صوتك احلى؟,ايه الكلام ده! مين الي قالك الكلام ده
"عفوا, ممكن تزيح شوي؟",اكيد تفضل,"عفوا, ممكن تنزاح شوية؟",اكيد اتفضل
"اسبوع الجاي ببلش شهر رمضان, رمضان كريم!",علينا وعليك,"الاسبوع الجي يبدأ شهر رمضان, رمضان كريم!",علينا وعليك
"من بعد اذنك, ممكن استعير البسكليت؟",ليش لوين بدك تروح فيها؟,"من بعد اذنك, ممكن استلف العجلة؟",ليه عايز تروح بيها فين؟
ما بتحسها غريبة انك تستلم مطرح المدير القديم؟,ابدا! الدنيا فرص والشاطر ما بفوت فرصة هيك,متحسهاش غريبة انك تستلم مكان المدير القديم؟,ابدا! الدننيا فرص والشاطر ميفوتش فرصة ذي ديه
شو رأيك خسرك بلعبة التنس؟,ما بتقدر تخسرني,ايه رأيك اهزمك في لعبة التنس؟,ماتقدرش تخسرني
بعدك عم تسعل؟,ايه السعلة صارت اقوى كمان,لسة بتكح؟,اه الكحة بقت اقوى كمان
لازم توقف تدخين عم اتضر صحتك كتير,معك حق بس هيدي عادة قديمة ما بقدر وقفها,لازم توقف تدخين انت بتضر صحتك جامد,معاك حق بس ديه عادة قديمة ماقدرش اوقفها
كيف كانت الصيفية؟,"منيحة, سافرت على استراليا ونيوزلاندا",ايه اخبار اجازة الصيف؟,"كويسة, سافرت على استراليا ونيوزلاندا"
صرلك فترة مش مبسوط شو القصة؟,مافي شي شكرا عل اهتمام,بقالك فترة مش مبسوط ايه القصة؟,مافيش حاجة شكرا على اهتمام
ماما ممكن تراجعلي الفرض قبل ما سلمو بكرا؟,شفتو حبيبي يعطيك العافية بجنن,ماما ممكن تراجعيلي الواجب قبل ما اسلموا بكرا؟,شفتو حبيبي يعطيك العافية يجنن
شو رأيك نروح نكزدر عل كورنيش نهار الأحد؟,ايه اكيد ما عندي مانع منغير جو شوي,ايه رأيك نروح نتمشى على الكورنيش يوم الحد؟,اه اكيد معنديش مانع نغير جو شوية
ميلاد مجيد!,كل عام وانت بخير!,ميلاد مجيد!,كل عام وانت بخير!
انا انتهيت. فلست رسميا,ما تعتل هم. كل شي حيكون منيح,انا انتهيت. فلست رسميا,ما تشلش هم. كل حاجة حتكون كويسة
ممكن تفرجيني البدلة تعيتك؟,اكيد. لحظة لجيبها من الخزانة,ممكن توريني البدلة بتعتك؟,اكيد. لحظة اجيبهالك من الدولاب
انا تعبت منك! انت مين مفكر حالك ولا؟,كيف بتسترجي تحكي معي هيك؟,انا تعبت منك! انت فاكر نفسك مين يلا؟,اذاي تجرؤ تتكلم معايا كدة؟
مبين عليكي مسمرّة. شو كاينة عل بحر؟,ايه. السبت والأحد رحت,باين عليكي مسمرّة.ايه كنتي على البحر؟,اه. السبت والأحد رحت
اليوم حنكمل درس العلوم. شو وظيفة القلب بالجسم؟,القلب بيضخ الدم يا استاذ,انهردة حنكمل درس العلوم. ايه وظيفة القلب في الجسم؟,القلب بيضخ الدم يا استاذ
هيدي الخطة مش منيحة لشغلك. عم تلعب بالنار,ليش؟ هيك عم بخلق فرص اكتر,الخطة ديه مش كويسة لشغلك. انت بتلعب بالنار,ليه؟ كدة بتخلق فرص اكتر
بتعرف تلعب شطرنج؟,ايه. جدي علمني ياها,بتعرف تلعب شطرنج؟,اه.جدي علمه لي
يا لطيف اديه صرني مش شايفك!,انا كمان! اتبسطت بشوفتك,يا لطيف بقالي قد ايه مشفتكش!,انا كمان! اتبسطت بشوفتك
شو مبين جايب براد جديد؟,ايه لأن بحاجة لواحد اكبر,ايه باين عليك تلاجة جايب جديد,اه لأني محتاج واحدة اكبر
شو بتحب التزلج؟,ايه! تعلمت كيف هيديك السنة وحبيت كتير,ايه بتحب التزلج,اه! اتعلمت اذاي السنة الي فاتت و حبيته جدا
بدي الغي حجز نهار الخميس بليل ازا بتريد,تكرم. بتحب حطلك الحجز ليوم تاني؟,عايز الغي الحجز يوم الخميس بليل لو سمحت,حاضر. تحب احطلك الحجز ليوم تاني؟
ممكن اسعمل اللابتوب تعولك شوي؟,اكيد. بس انتبه يمكن بدو تشريج,ممكن استعمل الابتوب بتاعك شوية؟,اكيد. بس خلي بالك يمكن محتاج يتشحن
تعبت من الأكل الجاهز. اشتقت اكل طبخ لبناني,بعرف مطعم بيعمل طبخ لبناني. بدك نجيب؟,تعبت من الأكل الجاهز. وحشني اكل الطبخ الللبناني,اعرف مطعم بيعمل طبخ لبناني. عايز نجيب؟
شو جبت لأمك ع عيد الأم؟,جبتلها ورد واشتريتلها غسالة.,جبت لأمك ايه على عيد الأم؟,جبتلها ورد اشتريتلها غسالة.
شو حيصير بالولاد ازا اطلقت انت والمحروسة؟,ما بعرف ما فكرن بهيدا الموضوع قبل,ايه الي حيحصل للولاد اذا اطلقت انت و المحروسة؟,ماعرفش ما فكرناش في الموضوع ده قبل كدة
مسافر قبل بمرة عل يابان؟,ايه سافرت مرتين قبل هيك,مسافر قبل كدة على اليابان؟,اه سافرت مرتين قبل كدة
وين ساكن هلق؟,بعدني مطرح ما كنت ما غيرت,ساكن فين دلوقتي؟,لسة في مكان ما كنت ماغيرتش
كيف بقدر ساعدك استاذ؟,عمال معروف بدي اشتري هيدول الكتب,اقدر اساعدك اذاي يا استاذ؟,اعمل معروف عايز اشتري الكتب ديه
بتحب تروح ناكل اكل صيني نهار الجمعة؟,بشوف. مين ومين رايح؟,تحب نروح ناكل اكل صيني يوم الجمعة؟,حشوف.مين و مين رايح؟
كنت تشتغل ايام الجامعة؟,لا. كنت ضل مشغول بالدرس. انت كنت تشتغل؟,كنت بتشتغل ايام الجامعة؟,لا.كنت افضل مشغول في المذاكرة. انت كنت تشتغل؟
حبيت اللعبة؟,ابدا. ما تسليت بالمرة,حبيت اللعبة؟,ابدا. ماتسليتش نهائي
ممكن استعير هل كتابين؟,اكيد. بس لازم ترجعن خلال اسبوع,ممكن استلف الكتابين دول؟,اكيد بس لازم ترجعهم خلال اسبوع
عنجد انا ما بعرف كيف ابتليت وتجوزت,ليش خير شو القصة؟,بجد انا معرفش اذاي ابتليت واتجوزت,ليه خير ايه القصة؟
اديه حق الجريدة اليوم؟,بعدا بألف ليرة,كام تمن الجرنال انهردة؟,لسة بألف ليرة
شو ليش معصب؟,متضايق من الوضع بالبلد,ايه ليه متعصب؟,متضايق من وضع البلد
كل التذاكر انباعت. مش حنقدر نحضر الحفلة.,ياالله! كنت كتير حابب روح,كل التذاكر اتباعت. مش حنقدر نشوف الحفلة.,يا الله! كنت حابب اروح جدا
بدك حطلك فواكه حد البوظة؟,لا مش ضروري. البوظة بتكفي وبتوفي,عايزني احطلة فواكه جمب الجيلاتي؟,لا مش ضرورة. الجلاتي تكفي و توفي
شو لونك المفضل؟,الأزرق السماوي او الأزرق الفاتح,ايه لونك المفضل؟,الأزرق السماوي او الأزرق الفاتح
عمال معروف بدي كيلو بندوة و تنين كيلو خيار,تكرم عينك. ما بدك خس كرمال السلطة؟,اعمل معروف عايز كيلو طماطم و اتنين كيلو خيار,تسلم عينك. مش عايز خس عشان السلطة؟
من بعد امرك بدي سندويشة كفتة وسندويشة طاووق.,ماشي. حاسب عل صندوق و عشر دقائق بكونو جاهزين,من بعد اذنك عايز سندوتش كفتة و سندوتش شيش طاووق.,ماشي. حاسب على الكانشير وعشر دقايق ويكونو جاهزين
بدي روح قص شعري. بتعرفلك حلاق شاطر؟,ايه. هبق بعطيك رقم الي بقص عندو,عايز اروح اقص شعري. تعرف حلاق شاطر؟,اه. هبقى اديك رقم الي بقص عنده
لازم اخد مواد بإدارة الأعمال قبل ما اتخرج,ليش؟ انت بهمك هل مجال؟,لازم اخد مواد بإدارة الأعمال قبل ما اتخرج,ليه؟ انت يهمك المجال ده؟
كم راكب في عل طيارة؟,سبعة وستين راكب.,كل راكب في على الطيارة؟,سبعة وستين راكب.
شو كيف دوامك هيدا الفصل؟,ضغط كتير. اخد مواد زيادة كرمال اتخرج عل وقت,ايه اخبار دوامك الفصل ده؟,ضغط جامد. اخد مواد زيادة عشان اتخرج على الوقت
مرحبا. شفتك جاي مشي عل شغل اليوم,ايه ما كانت تدور السيارة معي الصبح,السلام عليكم. شفتك جاي مشي على الشغل انهردة,اه ماكنتش تدور العربية معايا الصبح
صرني اكتر من نص ساعة ناطرك. ليش تأخرت؟,بعتذر. علقت بعجقة سير,بقالي اكتر من نص ساعة مستنيك. ليه اتأخرت؟,بعتذر. اتزنقت في الزحمة
انا فايت اتحمم,تأكد قبل انو في مي سخنة,انا داخل استحمى,اتأكد الاول انو فيه ميه سخنة
تشرب شاي اخضر؟,ايه. اعملي معك عمال معروف,تشرب شاي اخضر؟,اه. اعملي معاك اعمل معروف
شو هل الجنينة الحلوة! لون الورد بجنن,شكرا! عيونك الحلوين,ايه الجنينة الحلوة ديه؟ لون الورد يجنن,شكرا! عيونك الي حلوين
لازم تصير تهتم بصحتك. ما بصير هيك,معك حق. لازم اعمل رياضة,لازم تبقى تهتم بصحتك. ما ينفعش كدة,معاك حق. لازم اعمل رياضة
بس خلص درس لازم اضهر غير شويت جو,لوين بدك تروح؟,بس اخلص الدرس لازم اخرج اغير شوية جو,عايز تروح فين؟
شكرا عل الهدية! كلكن ذوق,ولو! انت من اعز الناس علينا,شكرا على الهدية! كلكم زوق,عيب! انت من اعز الناس علينا
حاسس راسي كتير عم يوحعني,سلامة راسك. اعطيك حبة دوا؟,حاسس راسي بيوجعني جامد,سلامة راسك. اديك حباية دوا؟
طالع هل التياب الحلوين!,شكرا! هول ستي خيطتلي ياهن,بص على العدوم ديه حلوة!,شكرا! دول ستي خيطتهملي
شو ما بدك تخبرنا كيف تعرفت عل العروس؟,تعرفنا عبعض بالجامعة,ايه مش عايز تقلنا اتعرفت عالعروسة اذاي؟,اتعرفنا على بعض في الجامعة
فينا نعمل الحجز الليلة؟,لا بعتذر اليوم مفول. بدك بكرا؟,ممكن نعمل الحجزة انهردة بليل؟,لا بعتذر اليوم مليان. عايز بكرا؟
صرلي خمس سنين مش شايف ابوك. كيف صحتو؟,الحمدلله. هوي شوي تعبان بس ماشي الحال,بقالي خمس سنين مشفتش ابوك. الصحة ايه؟,الحمدلله. هوا تعبان شوية بس ماشي الحال
يخزي العين مش مبين عليك الكبر,كتر خير الله الحمدلله عل نعمة الصحة,ماشاءالله عليك مش باين عليك السن,كتر خير الله الحمدلله على نعمة الصحة
يلا بسرعة بسرعة! حنتأخر,يلا جيت جيت,يلا بسرعة بسرعة! حنتأخر,يلا جيت جيت
شو اكلتك المفضلة؟,ما في شي محدد. بس اكتر شي بحب الأكل اللبناني,ايه اكلتك المفضلة؟,مافيش حاجة محددة. بس اكتر حاجة بحب الأكل اللبناني
ليك ايا نصيحة بدك ياها انا بالخدمة,حبيبي ما بتقصر! شكرا,بص اي نصيحة انت محتاجها انا في خدمتك,حبيبي مابتقصرش! شكرا
انشاالله بحكيك بس ارجع من المستشفى,خير شو في؟ شو صاير معك؟,انشاالله حكلمك بس ارجع من المستشفى,خير في ايه؟ ايه الي حاصل معاك؟
بتقدر تروح تجيب دجاج وكزبرة؟,ايه ما في مشكلة. شي ساعة وبروح,تقدر تروح تجيب فراخ و كزبرة؟,اه مافيش مشكلة. حوالي ساعة واروح
لازم نشطف البيت قبل ما يجو الضيوف,صح بس يمكن ما معنا وقت.,لا ننضف البيت قبل ما يجوا الضيوف,صح بس يمكن معناش وقت.
ليش علقت انت ورفيقك؟,فكرني عم اتمسخر عليه بس انا ما اتمسخرت,ليه اتخانقت انت وصاحبك؟,فكرني بتريق عليه بس انا متريقتش
يلا صار لازم نروح.,يا زلمة خليك قاعدين,يلا بقا لازم نروح.,يا راجل خليكم قاعدين
كتير تعبان ومضغوط من الدرس,بيسيطة يعطيك العافية. جمعتين وبترتاح,تعبان جامد و مضغوط من المذاكرة,بسيطة ربنا يديك الصحه. جمعتين و ترتاح
محتار شو بدي اعمل غدا,جيب شي جاهز,محتار اعمل ايه على الغدا,جيب حاجة جاهزة
يا زلمة ما فهمت شي من المحاضرة,بسيطة. اليوم بليل منقرا الكتاب بيمشي الحال,يا راجل مفهمتش حاجة من المحاضرة,بسيطة. اليوم بليل نقرا الكتاب حتمشي الدنيا
شو حتعمل من بعد ما تتخرج,بدي كمل دكتوراه,حتعمل ايه بعد ما تتخرج,عايز اكمل دكتوراه
شو حتعمل بالصيف؟,بعدني ما بعرف شو ممكن اعمل,حتعمل ايه في الصيف؟,لسة معرفتش ممكن اعمل ايه
شو بيشتغل ابوك؟,بيي استاذ رياضيات بالجامعة,ابوك بيشتغل ايه؟,ابويا استاذ رياضيات في الجامعة
جدي توفى مبارح,يا لطيف! الله يرحموا ويحسن اليه,جدي توفى امبارح؟,يا لطيف! الله يرحمه ويحسن اليه
شو رأيك اهم الذكاء العاطفي او الذكاء الفكري؟,شو هل السؤال الغريب,ايه رأيك اهم الذكاء العاطفي او الذكاء الفكري ؟,ايع السؤال الغريب ده
لك يلا خلصني صار لازم نروح!,يلا خمس دقائق وبكون حاهز,يلا خلصني بقا لازم نروح,يلا خمس دقايق واكون جاهز
شو كيف الدرس؟,ماشي الحال الحمدلله,ايه اخبار الدرس؟,ماشي الحال الحمدلله
واخيرا خلص الفيلم! ابشع فيلم شايفو بحياتي,اوف يا لطيف شو بتنق,واخيرا خلص الفيلم! اوحش فيلم شفتو في حياتي,اوف يا لطيف قد ايه بتزن
كم لغة بتعرف تحكي؟,بعرف احكي عربي و انكليزي وفرنسي,كم لغة بتعرف تتكلم؟,اعرف اتكلم عربي و انجليزي و فرنساوي
ليش ما قلتلي انك مزوج؟,عفوا فكرتك بتعرف,ليه مقالتليش انك متزوج؟,اسف افتكرتك عارف
شو انبسطت بضهرة مبارح؟,ايه كتير! غيرت جو الي زمان مش ضاهر,ايه اتبسطت في خروجة امبارح؟,اه كتير! غيرت جو بقالي كتير مخرجتش
شو حتكمل ماجستير او حتشتغل من بعد التخرج؟,بعتقد حكمل ماجستير,ايه حتكمل ماجيستير او حتشتغل من بعد التخرج؟,اعتقد حكمل ماجستير
اديه دفعت حق الكتاب؟,عشر ليرات بس. حسيتو مش كتير غالي,اد ايه دفعت تمن الكتاب؟,عشر ليرات بس. حسيته مش غالي اوي
شو هل الضهرة الحلوة! انبسطت كتير,وانا كمان! نفس الشعور!,ايه الخروجة الحلوة ديه! اتبسطت اوي,وانا كمانّ! نفس الشعور!
حفلة التخرج حتكون حلوة كتير!,انشاالله! من وين حتجيب طوب التخرج؟,حفلة التخرج حتكون حلوة جدا!,انشاءالله! حتجيب منين توب التخرج؟
مرحبا. انشاالله الأكل على ذوقك؟,ايه بس ناقصو شويت ملح.,السلام عليكم. انشاالله الأكل على ذوقك؟,اه بس ناقصه شوية ملح.
مش معقول ما احلىى الموسيقى الرايقة عالصبح!,صح وخاصة موسيقى فيروز,مش معقول ما احلى الموسيقى الرايقة على الصبح!,صح وخاصة موسيقى فيروز
شوي موتر من اجتماع الجمعة,ليش؟ حضر منيح وماعليك. وانا جاهز للمساعدة,متوتر شوية من اجتماع الجمعة,ليه؟ حضر كويس ومتتوترش. وانا جاهز للمساعدة
شو ليش مافي حدا؟,فاتو ناموا بكير,ايه ليه مافيش حد؟,دخلوا يناموا بدري
شو مبين عليك محمس!,ايه طلعت الأول عل دفعة!,ايه باين عليك متحمس!,اه طلعت الأول على الدفعة!
لازم فوت نام بكرا عندي شغل بكير,ماشي تصبح عل خير,لازم اخش انام بكرا عندي شغل بدري,ماشي تصبح على خير
شو حتعمل اليوم؟,بدي نضف البيت واطبخ,حتعمل ايه انهرده؟,عايز انضف البيت واطبخ
بعدك فايق؟,ايه مش عم يجيني نوم,لسة صاحي؟,اه مش جايلي نوم
ممكن نعمل غدا لكل الي بشتغلو بالمعمل؟,ايه فكرة حلوة!,ممكن نعمل غدا لكل الي بيشتغلوا في المعمل؟,اه فكرة حلوة!
ليش نهار الخميس عطلة؟,عطلة بمناسبة عيد المعلم,ليه يوم الخميس اجازة؟,اجازة بمناسبة عيد المعلم
تروح تتصيد سمك معنا نهار الجمعة؟,ايه مش غلط. بس وين حتتصيدو؟,تروح نصطاد سمك معانا يوم الجمعة؟,اه ايه المشكلة. بس حتصطادوا فين
ليِش بعدك بالبيت؟ مش مفروض تكون بالمدرسة؟,حسيت حالي تعبان شوي ما رحت,انت ليه لسة في البيت؟ مش المفروض تكون في المدرسة؟,حسيت نفسي تعبان شوية فامرحتش
قريت الجريدة اليوم؟,ايه شي بيسم البدن,قريت الجرنال انهردة؟,اه حاجة تسد النفس
بتحب تشرب شي بعد الغدا؟,قهوة اذا ممكن,تحب تشرب حاجة بعد الغدا؟,قهوة لو ممكن
بدك تاكل شي بعد؟,لا شكرا شبعت,عايز تاكل حاجة كمان؟,لا شكرا شبعت
ماما شو بدك جبلك غراض؟,جيب فحم وغراض السلطة,ماما ايه الحاجات الي عايزاني اجبهالك؟,جيب فحم و حاجات السلطة
شو بتحب تتغدى اليوم؟,ممكن نعمل سمك مشوي؟,تحب تتغدا ايه انهردة؟,ممكن نعمل سمك مشوي؟
شو ليش تأخرت,كان في عجقة سير كتير,ايه ليه اتأخرت,كان في زحمة جامد
بدي روح عند اللحام جيب لحمة للفاصوليا,اها! ليش اليوم بدك تطبخي فاصوليا,عايز اروح عند الجزار اجيب لحمة للفاصوليا,اها! ليه عايزة تطبخي فاصوليا انهردة
خربت الغسالة! هاي تاني مرة بتخرب بظرف شهر,خلص اشتري وحدة جديدة,باظت الغسالة! ديه تاني مرة تبوظ في خلال شهر,خلاص اشتري وحدة جديدة
لازم تنضف غرفتك,ما عندي وقت,لازم تنضف الاوضة,معنديش وقت
ما كنت متخيل انو تنجح خطة السفر,الحمدالله حظنا حلو.,ماكنتش متخيل انو حتنجح خطة السفر,الحمدلله حظنا حلو.
بتقدر تنصحني بشي مسلسل حلو احضرو؟,ايه بنصحك اكيد. بدك شي كوميديا او شو؟,تقدر تنصحني بمسلسل حلو اتفرج عليه؟,اه بنصحك اكيد. عايز حاجة كوميديا ولا ايه؟
بتحبي نرقص سوا؟,اكيد! ليش لأ,تحبي نرقص مع بعض؟,اكيد ليه للأ؟
شو رأيك نستأجر سيارة ونلف فيها كل المنطقة؟,ايه مش غلط. بس اديه بتكلف؟,ايه رأيك نأجر عربية ونلف بيها كل المنطقة؟,اه مش غلط. بس تكلف كام؟
حزار مين شفت مبارح,مين؟ ما تقلي رفيقك المزعج,احزر شفت مين امبارح,مين؟ ماتقليش صحبك المزعج
فيك اديّني خمسية الف؟,كمان! ليه بتضلك مقطوع من المصاري؟,ممكن تديني خمسين الف؟,كمان! ليه بتفضل مقطوع عن الفلوس؟
ليش بتجي بسيارتك عل شغل؟,بشو بدي اجي؟ النقل العام متعب و مش مريح,ليه بتيجي بعربتك على الشغل؟,اجي بايه؟ النقل العام متعب و مش مريح
اديه اليوم في بالشهر؟,اليوم واحد آذار,انهردة كام في الشهر؟,انهردة واحد مارس
هيدي اول سنة لألك هون؟,لا هيدي تاني سنة,ديه اول سنة ليك هنا؟,لا ديه تاني سنة
انبسطلن كتير انشالله بيتهنو,انا كمان. والله بيستاهلوا كل خير,اتبسطلهم جدا انشالله يتهنوا,انا كمان. والله يستاهلوا كل خير
بتحب تاكل الكفتة نية او بطبخلك ياها؟,اطبخيها افضل. ما باكل لحمة نيّة,تحب تاكل الكفتة نية ولا اطبخهالك,اطبخيها افضل. مابكلش اللحمة نية
وصلك كرت العزيمة؟,كرت شو؟ ايا عزيمة؟,وصلك كرت العزومة؟,كرت ايه؟ انهي عزيمة؟
فقدت الأمل بكل شي,ليه؟ خلي املك بألله كبير فترة وبتمرق,فقدت الأمل في كل حاجة,ليه؟ خلي املك في ربنا كبير فترة و تعدي
اليوم الأحد. خلينا نضهر نشم شويت هوا نضيف.,يلا لحظة لألبس عليي,انهردة الحد. خلينا نخرج نشم شويت هوا نضيف.,يلا لحظة البس حاجة عليا
عم فكر روح امشي بعد الغدا,لا ما تروح يمكن تشتي الدنيا,بفكر اروح امشي بعد الغدا,لا ماتروحش يمكن الدنيا تشتي
شو حتجبلي هدية على عيد ميلادي؟,انت نقي لي بدك ياه وتكرم عينك,حتجبلي هدية ايه على عيد ميلادي؟,انت نقي الي عايزه و من عنيا
مبين عليك قلقان. خير صاير معك شي؟,والله تعبان كتير من ظروف البلد الصعبة,باين عليك قلقان. خير حاصل معاك حاجة؟,والله تعبان جدا من ظروف البلد الصعبة
ليك ممكن تعيرني جاكيت من عندك؟,ايه اكيد الدنيا برد ما فيك تضهر من دون جاكيت,بص ممكن تسلفني جاكيت من عندك؟,اه اكيد الدنيا برد متقدرش تخرج من غير جكيت
