Response,Utterance
سلامة راسك. اعطيك حبة دوا؟ ,حاسس راسي كتير عم يوحعني
شكرا! هول ستي  خيطتلي ياهن,طالع هل التياب الحلوين!
تعرفنا عبعض بالجامعة,شو ما بدك تخبرنا كيف تعرفت عل العروس؟
لا بعتذر اليوم مفول. بدك بكرا؟,فينا نعمل الحجز الليلة؟
الحمدلله. هوي شوي تعبان بس ماشي الحال,صرلي خمس سنين مش شايف ابوك. كيف صحتو؟
كتر خير الله الحمدلله عل نعمة الصحة,يخزي العين مش مبين عليك الكبر
يلا جيت جيت,يلا بسرعة بسرعة! حنتأخر
ما في شي محدد. بس اكتر شي بحب الأكل اللبناني,شو اكلتك المفضلة؟
حبيبي ما بتقصر! شكرا,ليك ايا نصيحة بدك ياها انا بالخدمة
خير شو في؟ شو صاير معك؟,انشاالله بحكيك بس ارجع من المستشفى
ايه ما في مشكلة. شي ساعة وبروح,بتقدر تروح تجيب دجاج وكزبرة؟
صح بس يمكن ما معنا وقت.,لازم نشطف البيت قبل ما يجو الضيوف
فكرني عم اتمسخر عليع بس انا ما اتمسخرت,ليش علقت انت ورفيقك؟
يا زلمة خليك قاعدين,يلا صار لازم نروح.
بيسيطة يعطيك العافية. جمعتين وبترتاح,كتير تعبان ومضغوط من الدرس
جيب شي جاهز,محتار شو بدي اعمل غدا
بسيطة. اليوم بليل منقرا الكتاب بيمشي الحال,يا زلمة ما فهمت شي من المحاضرة
بدي كمل دكتوراه,شو حتعمل من بعد ما تتخرج 
بعدني ما بعرف شو ممكن اعمل,شو حتعمل بالصيف؟ 
بيي استاذ رياضيات بالجامعة,شو بيشتغل ابوك؟
يا لطيف! الله يرحموا ويحسن اليه,جدي توفى مبارح
شو هل السؤال الغريب,شو رأيك اهم الذكاء العاطفي او الذكاء الفكري؟
يلا  خمس دقائق وبكون حاهز,لك يلا خلصني صار لازم نروح!
ماشي الحال الحمدلله,شو كيف الدرس؟
اوف يا لطيف شو بتنق,واخيرا خلص الفيلم! ابشع فيلم شايفو بحياتي
بعرف احكي عربي و انكليزي وفرنسي,كم لغة بتعرف تحكي؟
عفوا فكرتك بتعرف,ليش ما قلتلي انك مزوج؟
ايه كتير!  غيرت جو الي زمان مش ضاهر,شو انبسطت بضهرة مبارح؟ 
بعتقد حكمل ماجستير,شو حتكمل ماجستير او حتشتغل من بعد التخرج؟
عشر ليرات بس. حسيتو مش كتير غالي,اديه دفعت حق الكتاب؟
وانا كمان! نفس الشعور!,شو هل الضهرة الحلوة! انبسطت كتير
انشاالله! من وين حتجيب طوب التخرج؟,حفلة التخرج حتكون حلوة كتير! 
ايه بس ناقصو شويت ملح.,مرحبا.  انشاالله الأكل على ذوقك؟
صح وخاصة موسيقى فيروز,مش معقول ما احلىى الموسيقى الرايقة عالصبح!
ليش؟ حضر منيح وماعليك. وانا جاهز للمساعدة,شوي موتر من اجتماع  الجمعة
فاتو  ناموا  بكير,شو ليش مافي حدا؟
ايه طلعت الأول عل دفعة! ,شو مبين عليك محمس!
ماشي تصبح عل خير,لازم فوت نام بكرا عندي شغل بكير
بدي نضف البيت واطبخ ,شو حتعمل اليوم؟
ايه مش عم يجيني نوم,بعدك فايق؟
ايه فكرة حلوة!,ممكن  نعمل غدا لكل الي بشتغلو بالمعمل؟
عطلة بمناسبة عيد المعلم,ليش نهار الخميس عطلة؟
ايه مش غلط. بس وين حتتصيدو؟,تروح تتصيد سمك معنا نهار الجمعة؟ 
حسيت حالي تعبان شوي ما رحت,ليِش بعدك بالبيت؟ مش مفروض تكون بالمدرسة؟
ايه شي بيسم البدن,قريت الجريدة اليوم؟
قهوة اذا ممكن,بتحب تشرب شي بعد الغدا؟ 
لا شكرا شبعت,بدك تاكل شي بعد؟ 
جيب فحم وغراض السلطة,ماما شو بدك جبلك غراض؟ 
ممكن نعمل سمك مشوي؟,شو بتحب تتغدى اليوم؟ 
كان في عجقة سير كتير,شو ليش تأخرت 
اها! ليش اليوم بدك تطبخي  فاصوليا,بدي روح عند اللحام جيب لحمة للفاصوليا 
خلص اشتري وحدة جديدة,خربت الغسالة! هاي تاني مرة بتخرب بظرف شهر
ما عندي وقت,لازم تنضف غرفتك
الحمدالله حظنا حلو.,ما كنت متخيل انو تنجح خطة السفر
ايه بنصحك اكيد. بدك شي كوميديا او شو؟,بتقدر تنصحني بشي مسلسل حلو احضرو؟
اكيد!  ليش لأ,بتحبي نرقص سوا؟
ايه مش غلط. بس اديه بتكلف؟,شو رأيك نستأجر سيارة ونلف فيها  كل المنطقة؟
مين؟ ما تقلي رفيقك المزعج,حزار مين شفت مبارح
كمان! ليه بتضلك مقطوع من المصاري؟,فيك اديّني خمسية الف؟
بشو بدي اجي؟ النقل العام متعب و مش مريح,ليش بتجي بسيارتك عل شغل؟
اليوم واحد آذار,اديه اليوم في بالشهر؟
لا هيدي تاني سنة,هيدي اول سنة لألك هون؟
انا كمان. والله بيستاهلوا  كل  خير,انبسطلن  كتير انشالله بيتهنو
اطبخيها افضل. ما باكل لحمة نيّة ,بتحب تاكل الكفتة نية او بطبخلك ياها؟
كرت شو؟ ايا عزيمة؟,وصلك كرت العزيمة؟ 
ليه؟ خلي املك بألله كبير فترة وبتمرق,فقدت الأمل بكل شي
يلا لحظة لألبس عليي,اليوم الأحد. خلينا نضهر نشم شويت هوا  نضيف.
لا ما تروح يمكن تشتي الدنيا,عم فكر روح امشي بعد الغدا 
انت نقي لي بدك ياه وتكرم عينك,شو حتجبلي هدية على عيد ميلادي؟
والله تعبان كتير من ظروف البلد الصعبة,مبين عليك قلقان. خير صاير معك شي؟ 
ايه اكيد  الدنيا برد ما فيك تضهر من دون جاكيت ,ليك ممكن تعيرني جاكيت من عندك؟
ايه لاحظت!  لازم ناتقي و نسمع سوى,لاحظت انو طلعنا منحب نفس نوع الموسيقى؟
اشترك فيها بصير فيك كل يوم تفوت,ياريت لو بيسمحولي فوت عالمكتبة
لا بعد  ازا  مستعجل انطرني برا ,شو جهزت؟
ايه. صرلو مجوز اختي عشر سنين هلأ عرفت؟,هيدا صهرك؟
سافرت انا والعيلة عباريس,وين قضيت راس السنة؟ 
لك ايه!! يمكن نربح الماتش,واخيرا حطو غول!
لا بعتذر مشغول ما فيني,بدك نتغدى سوى نهار السبت؟ 
لأن كنت عم قطع بصل,ليش عم تبكي؟
يا عمي روق مش مستاهلة هلقد,يا خيي بلش دمي يغلي بدك تحل عني او لا؟ 
ايه اكيد. شو بدك تقدم؟,ليك بتساعدني شوي بموضوع القروض؟ 
بدي سندويش  لبنة مع زيتون,شو بدي لفلك؟ 
شوب. قالوا عل اخبار انز درجة الحرارة حتكون ثلاثين ,كيف حيكون الطقس بكرا؟
لا حبيبتي عندي درس,انا رايحة كزدر تروح معي؟
ليش لازم؟ ليش أنا يعني ما في غيري ؟,لازم تترشح عالأنتخابات 
ايه ما جبت معي شمسية,شو كنت ماشي تحت الشتا؟
دقيت وقلتلن اني مريض,ليش ما رحت عل شغل؟
والله وجعت راس كبيرة,شو كيف الجامعة؟
بتفضل الجامعة الخاصة او الرسمية؟,مش عارف على ايا جامعة بدي قدم
هلأ بجيب حطب مع شويت مازوت,كيف بدك تولع الصوبا؟
اوف ليش شو صاير؟,هيدا اسوء نهار بحياتي عالأكيد
صح وما في خطط لتنحل الأزمة,مستوى التلوث مرتفع وخطير كتير
مش عارف. شو عبالك أنت ؟,شو بتحب نعمل الليلة؟
خراس. عروف حالك مع مين عم تحكي,ليك بتلزم حدوداك احسن ما كسرلك راسك.
ما بعرف بس اكيد مش اكتر من عشرين كيلو,اديه وزن الشنطة اللي معك؟
ايه بجي اكيد. بأيا بستان منا نبلش,تجي تساعدنا بقطف الزيتون؟
اذا قدرت اكيد. شو بدك ؟,ممكن اطلب منك طلب وما تخيبني؟
مش دايما. بحسو جدي كتير,مهضوم استاذ الرياضيات
لا مش جاي عبالي ,تروح عالصيد بكرا؟
شو هيي؟ شو بدك ؟,ممكن تعملي هالخدمة؟
لا شكرا حبيبي ,حأعمل شاي اعمل حسابك؟
لك مش عم اسمعك منيح!,لك ليش مش عم تنقبر ترد؟ 
بخلص عل ساعة خمسة,ايا ساعة بتخلص؟ 
مافي شي كلو عن الأنتخابات,شو في اخبار اليوم؟
ايه مرة وكانت بتقرف,شي مرة مسافر على السفينة؟
ما فينا نعمل شي,شو منا نعمل
حيالا شي لجبران خليل جبران,شو كتابك المفضل؟
متساعدني حل عني بس!,كيف بقدر ساعدك بهل حالة؟ 
ما نقيتن سجلت الموجود,كيف نقيت المواد تعولك؟
ايه كلن عنصريين ,حدا الك شي كرمال لون بشرتك؟
وين الصف تعولك؟,بتقدر تساعدني اوصل عالصف؟ 
تلعب شطرنج,تعا نلعب لعبة
ما بعرف اول مرة بشوفها,مين هيدي لي واقفة حد الشباك؟
بفكر وبردلك خبر,انا بنصحك تشتريها للسيارة مش ممكن تلاقي احسن
عادي حلو ما اشبو شي,شو كيف كان نهارك
ايه بلبل بالفرنسي,بتعرف تحكي فرنسي؟
ماشي الحال. العلاقة رسمية متل ملازم تكون,كيف علاقتك بمدير الشغل تعولك؟
بالمدرسة الرسمية,بأيا مدرسة حاطت ولادك؟ 
ايه كل يوم بنام ساعة اوساعتين,بتقدر تنام بعد الضهر؟
مبلا اكيد يلا الحقوني,شو مابدك تفرجينا عل بيت؟
ليش ما خبرتني قبل؟ شو رايح تعمل,انا مسافر الخميس على دبي. بتوصيني شي؟
والله صرلي فترة مشغول. انت كيفك شو اخبارك؟ ,وين هل غيبة عاش مين شافك!
بتصدق مش جاي عبالي اضهر اليوم,اليوم مثالي لنعمل جولة بالجنينة
كنت عم اتحمم وقت اتصلت,اتصلت فيك مبارح ليش ما رديت؟
مش معروف ايمتىى بس مفروض اخر الشهر,ايمتى حتخلف مرت خيك؟
سافر يشتغل بالسودان,لوين سافر خيك؟
ايه معك حق انا تعبت كتير,صرلنا من الصبح عم ندرس خلينا نرتاح شوي
ليش؟ مش غالي كتير؟,افضل محل للسكن هوي راس بيروت
لا شكرا ما بدي روح. ازا في قريدس جيبي معك,بدي روح عالمسمكة اشتري سمك. تروح معي؟
لا مش اول مرة. انا مشترك هون وهاي بطاقة الأشتراك,اهلا! اول مرة بتجي لعنا؟
اليوم ما اجت بالمرة,ايا ساعة اجت الكهرباء؟ 
بس اسقي الزريعات. ما تعمل شي غير,شو بدي اعملك بالجنينة؟
اختي ليش ؟,مين هيدي لي اجت معك مبارح؟
البطالة. في كتير شباب وصبايا قاعدين بلا شغل,برأيك ايا مشكلة اجتماعية لازم الحكومة تركز عليها؟
عندي كلب. ما بحب البسينات,عندك بسينة او كلب؟
ليش غيرت رأيك؟ مش على اساس نروح عالسينيما,يلا فوت منسهر عندي اليوم
بشعة. كتير بكرهها ,شو كيف كانت المدرسة اليوم؟
ما تتأخر وما تبعد,رايح كزدر شوي بالسيارة
ولا شي. ما في بنفسي شي,شو بدك تتعشى؟
حبيت غير شوي,ليش مش جايب اكل معك من البيت اليوم 
معظم الناس بتحب الفوتبول,ايا اكتر رياضة مشهورة بالبلد؟
ولو هيدا اقل واجب,شكرا على تعبك معي. ما ح انسالك ياها
مش جاييني نوم,ما بدك تنام؟ 
يعني اخدت القرار النهائي. ايمتى مسافر,جاي ودعك بتوصيني شي؟
ايه الهوا كتير حامي,الطقس بشع كتير اليوم 
ايه! ضرب عامود الكهرباء,شفت البرق شو قوي!
هون بالضيعة,وين رحت مشيت؟ 
لا ابدا ما في حدا,كان في عجقة عالطريق؟ 
من المستقبل المجهول,انت من شو خيفان؟ 
ايه الي عندك صارت كتير قديمة,عم فكر اشتري سيارة جديدة
لا بعد عندي كم ورقة لازم اقراهن,خلصت شغل؟
درس كل النهار,شو عندك بكرا؟
اكيد ما تعتل هم,سوق على مهلك
والله خسرنا و بقوة كمان,شو ربحتو او خسرتو الماتش مبارح؟
"الحمدالله، احسن شوي بس بعدا تعبانة",كيف صارت امك؟ سمعت انو مريضة
اووه أخيرا صار فينا نقلك مبروك,اليوم عرفت انو انقبلت بالشغل اللي كنت مقدم علي
المفروض العاصفة يومين و بتخلص,"والله كتير برد، ايمتى بدو يصحا الطقس بقا"
"حبيبي اجلا شوي، نحنا آخر الشهر شو نسيت","خلينا نروح عالسينما بكرا، صرلنا زمان"
ايه حرام صرلو زمان ما شافن,شفت كيف صار يلعب مع رفقاتو
صرلي شي ٣ سنين مبلش شغل,عم تدرس بالجامعة او عم تشتغل
"نشاالله حبيبتي، بيكبر و بيطلع احسن مني",ياريت ابني بيكبر و بيصير متلك
"عم فكر روح زور الماما، زمان ما شفتا",شو عندك مشاريع اليوم
ماشي الحال و انتا,كيفك حبيبي شو اخبارك 
مرسي حبيبتي و انا كنت مبسوطة,"كانت طلتك اليوم بتجنن، الكل انبسط"
"لسا بكير، بعدا السهر باولا","تأخر الوقت شوي، يلا خلينا نفل"
"لا زمان تركنا، ما زبط الموضوع",بعدك عم تشوف نفس البنت
"والله كتير مشغول، بتعرف الدني و مشاغلا","كيفو الحلو، زمان ما شفناك"
"الواحد ما بيعرف ايمتا بيموت، ما تخلي شي بنفسك","في كتير اشيا عبالي اعملا، بس عم ضل مشغول"
"لا والله لسا، عم بقراها على مهلي","شو عم تقرا هالايام، خلصت القصة اللي عطيتك هيي"
"تلفون الشغل، مهم ايه؟", هيدا تلفونك او تلفون الشغل 
"حلو، شو مخطط تعمل، عشو ناوي",بكرا عيد ميلادي و بدي اعمل حفلة
"عنجد انو لقيتا كتير صعبة، ما كانت تزبط معي","ما تعتل هم، المرة الجاية بتزبط معك"
"اوف لا والله، كيف صارت","هلق وصلت عالبيت، عرفت انو بيك كاسر اجرو؟"
"بركي اول الشهر الجاي ، بتعرف وضع البلد",ايمتى ناوي تدفع الفواتير المكسورة عليك
"ماشي الحال، رواق","مرحبا، كيفنا اليوم؟ "
بدي اشتري غسالة بس تكون مستعملة,"اهلا و سهلا، كيف بقدر ساعدك"
اوف ليس هيا عاملة بحالك,عرس رفيقتي بعد كم يوم و لسا ما جبت فستان
"خلص اخر مرة بجيب غراض منو، شي بجرص",معش تعيديها و تشتري من نفس المحل 
"كل شوي بدك تقلي هيك، شو بعمل بطير يعني","استعجلك شوي، اذا هيك بتضل منتاخر"
ايه شافو والله ما تخاف,انتبه تدعس عالزلمي الي ماشي بنص الطريق
ما بعرف صرلي من مبارح مكركب ,"مبين عليك تعبان شوي، شو صاير معك شي"
ايمتى ما بناسبك انا كل يوم فاضي ما عندي شي,ايمت بدك تمرق فرجيك عالصوبيا اللي جبتا جديد
ايوا سماالله عليها اكيد بدا تطلع حلوة لاما," بنت رفيقتي طالعة كتير حلوة، عيونا خضر و شعرا اسود"
"تيتا ايه، بس جدي عطاك عمرو زمان",ستك و جدك بعدن عايشين
ايه والله العمر غفلة,"هالايام كيف عم تركض ركض، مبارح كنا صغار و عم نلعب "
"شو هالحظ اللي عليك، لو عارف كنت ذكرتك",نسيت انو تسجيل المواد اليوم و سكرو الصفوف اللي بدي آخدا
لا ولا يهمك واجبنا,"شكرا كتير عالمساعدة اليوم، قدرنا نخلص بكير بفضلك"
بعد حدا عم يسال هيك سؤال,كيفنا اليوم ؟
الله يوفقك وتوصل بالسلامة,اجا قبول السفر واسبوع الجاي انشالله طيارتي
لكان لازم صير نام بكير,شكلا المدارس رح ترجع تفتح
قلي لازم امشي كل يوم ساعة عل الاقل,شو صار معك عند الحكيم شو قلك كرمال اجرك
لا الحمدالله مهم نضل عم نشتغل,كيف الشغل انشالله مش تعبان
والله ما عم لحّق ع شي كلو ضغط بضغط!!,شو عم تعمل هالايام؟
و أخيرا رح تخلص هالأزمة قريبا,عم يقولوا نجح اللقاح
لا مش كورونا اكيد حساسية,ما عم شم و دوق لي قولك؟
"يلا بسيطة، بتقدّم عجامعة غيرها",ما قبلوني بالجامعة
"لي خير شو صاير، بركي لازم تروح عند الدكتور","كتير عم بتوتر هالايام، ما بعرف شو صايرلي"
"مزبوط الا حسناتا، بس الجبل احلى",الحمدالله انو عايشين بالمدينة
"اكيد بعرف، بس ما قادر وقفو",بتعرف انو التدخين بضر بصحتك
كتير بايخ و ما بينحضر,"مرحبا، شو كيف لقيت الفيلم"
يالله عال المهم يكونو انبسطو الولاد,اليوم شفنا فيل كبير بالسيرك
اكيد و اذا مش فاضي بفضي حالي كرمالك,فاضي شوي نشرب قهوة سوا
"مش اكيد صراحة، بس مفروض ساعتين","الفيلم شوي و ببلش، كم ساعة هوي على علمك"
بيروت هي العاصمة السياسية للجمهورية اللبنانية وأكبر مدنها,شو عاصمة لبنان
"الدولار صلر بالسما، قد ما بدك",ادي الدولار اليوم
"والله عاملين كبة بالصينية، اتفضل",شو طابخين اليوم؟
اكيد كل يوم عالاونلاين,عم تدرس بهل ايام ؟
إنو أكيد منا نخلص بقى من هالقصة والله تعبنا.,"شو رأيك بموضوع لقاح كورونا، ح تاخدو؟"
"ايه خيي، من وين جبتو",ليوم جبت كيلو عدس مدعوم
يلا صرت واصل,وين صرت؟
اشربي مي اكتر وخدي فيتامينات,حاسة حالي عم ضل نعسانة وكسلانة
اوووووه بالسما,قدي الدولار اليوم
ييي ألف مبروك تتهنو,ما عم صدق عرسي بعد شهر!
يلا بدك نضهر بكرا؟,عبالي آكل سوشي
الحمدالله ماشي الحال,كيفك و كيف كل شي؟
"صار طالع، شي ١٠ دقايق بس",قديش بعد في للغدا
لا الحمدالله مهم نضل عم نشتغل,كيف الشغل انشالله مش تعبان
"بعد في أسبوع، شفلك شي تعملو بهالوقت",ايمتى بيخلص هالحجر؟
سمستر واحد و بدي كفي ماستر,كم سمستر ل تتخرج بعد
اخصائية تغذية,شو دارسة اختصاص
طبعًا,عم تراكم عليك دروس
بهل بيت,شو تخطيطاتك لبكرة
"خدلك حبة بانادول، اذا ما في فوت نام شوي",عم يوجعني راسي كتير. شو فيني ساوي
"حسب آخر تعميم، ببلش الساعة ٨",دخلك اي ساعة ببلش منع التجول
ماشي الحال,كيف حال الدرس ؟
لا عندي دراسة,جاي بكرا ؟
اي اكيد ليش تما صدق ؟,بتصدق الكورونا ؟
بحب اسبح اكثر شي,شو اكثر رياضة بتحبها ؟
ايه بعد شي ساعة منلتقي,فاضي شوية نشرب قهوة
لأني لبناني برو,ليه هلقد تعبان يا زلمة
اي أكيد و حتحبا كتير,بتقدر تعلمني كيف أكتب برامج للأندرويد ؟
ان شاء الله مع الطعوم بتنحل الأزمة و بيخلص كورونا قريبا,كتير جاي على بالي سافر بس أيمتى بدو يخلص هالكورونا
"فيك تاكل شي خفيف، شو رأيك بالبسكوت مع موز. ","كتير جوعانة، اقترح شي اكله "
الله اعلم بس شكلنا مطولين,ايمتن بدنا نخلص من كورونا ؟
"بالتوفيق، الحياة هونيك الها غير نكهة",قررت سافر على إيطاليا لكفي تعليمي
منيح كيفك أنت ؟,كيفك؟
مبرووك حبيبي كتير انبسطلك,اليوم عرفت انه انقبلت بالشغل ل قدمت عليه
عادي بكل مسابقة هيك بصير,مبارح كان ماشي الروبوت وفجاه اتعطل
مكتبتنا بتبقى فاتحة بالليل,"مرحبا، ايمتا بتسكر المكتبة"
"وانا عجبتني، صرلي زمان ما حضرت شي حلو","المسرحية كتير حلوة، حتى انو بكيت بالاخر"
بلا هالافكار هلق انا ما حسيت بشي,مبارح حسيت انو في حدا عم يلحقنا
والله كنت مسافر اليوم جيت,يا هلا حبيبي زمان ما شفناك
"انا مش اختصاصي تصليح غسالات، بس رح اعطيك رقم حدا شاطر",مرحبا غسالتي خربت و ضروري تتصلح اليوم
"ياريت كل أيامنا تكون هيك، بس يالله هيدي الدني",كانت العطلة بتجنن ما معقول شو نبسطنا
شو نسيت انو ما بعرف كيف,شو ما بدك تسبح
"بعتذر حقك عليي، بس هيك حسيت ",معقول تفكر حتى انو انا كون سارقة تلفونك
ما تخافي كلو بيصسر سهل مع الوقت,هيدا اول يوم الي بالشغل و كتير متلبكة
صرلي ساعة بقلب ما لقيت شي بينحضر,في شي حلو عالتلفزيون
"يسلمو، خجلتوني بكرمكن","كول قد ما بدك، ما تستحي"
خلص عمرو حبيبي ,كتير شفقانة عالكلب اللي مات
اكيد ما عندي شي أصلا اهم منك,"اخدت موعد عند الدكتور هالسبت، تجي معي"
هههه كانك رح تلاقي شغل,عم بدرس هندسة
اوووف كل يوم مجدرة!,عاملين مجدرة اليوم
والله الحمدالله عايشين,اوووه شو وين هالغيبة؟
هيك لان ما بوثق فيك,ليش ما خبرتيني من الاول ؟
"ان شاء الله ؟ شو ان شاء الله، يعني مش رح شوفك.",ان شاء الله الاسبوع الجاي بشوفك.
"بعتقد معي پانادول، خدلك حبة بتنفع",راسي واجعني كتير اليوم!
والله تقريبن صرت اعرف احكي تركي,شو عامل عا هل حجر ؟
يلا بتخدلا يومين معك,بلشت رواية جديدة اليوم
دروس كتير,كيف فيني انجح ؟
شكلو أنا حإخلص وهيي لا,أيمتا يمكن تخلص جائحة كورونا؟
تخطى سعر صرف الدولار عتبة ال١١ الف ليرة لبنانية,شو ابرز حدث صار اليوم
خليك بالبيت كرمال كورونا,لوين بدي اضهر اليوم
معي حبتين بنادول بدك؟,آخ راسي عم يوجعني
يييي الله يعينك!,اليوم شفت حبيبة قلبك
طبخي ايا شي بس مش مجدرة,ما عارفة شو اطبخ اليوم
امشي نروح على الجيم و ناكل صحي,ما عارفة كيف نزل وزني كتير متضايقة
والله انقطع الإنترنت و ما معي ٣جي,شو صار معكي مبارح ما رجعتي اتصلتي؟
يلا ما بقيلو الا شهرين,يا الله اشتقت للصيف
بطلبلك ديليفري؟,ما بحب المجدرة
انا بعملك اطيب دونتس!,عبالي دونتس!
انا هون حدك و اصلا بهل وضع كلنا هيك,حاسة حالي كتير مكتئبة
ييي منيح ما كنت معك ما كنت خلصت من الضحك,اليوم كنت وقعت عالدرج
عنجد! معناها بعقد مش معقول,سمعي هل غنية كتير حلوة!
يلا شو ناطرة قوليلي اسمو بسرعة!,جبتلك اسم مسلسل جديد لازم تحضري!
والله غاطسة بالدرس,لك وينك ما عم نشوفك؟
كان مطفي,ليش ما رديتي على تلفونك اليوم الصبح؟
الله يخلصنا من هل كورونا بقا و انا كمان عبالي,شو عبالي سافر!
شو مجنونة انتي؟ اشبك شي!,كتير عبالي اعمل سكاي دايفينغ!
امشي نروح اسبوع الجاي انا فاضية,صرلي زمان ما سبحت
و انا بالأكتر حبيبي,لك مش معقول شو اشتقتلك
لا!! منير ما غيرو؟,حزري مين حكاني اليوم!
احسن شي جيبي قجة هبكي بتطصيري بتصمدي,ما عم اعرف صمّد مصاري
طلبنا مناقيش جريش,شو فطرتوا
كالعادة محجورين بالبيت روح انضب,شو عاملين اليوم بالسهرة
ايه يا برو حالتي حالي كتير الو عوارض,طمني يا مان عرفت انه اخدت الطعم
و مين سمعك كلنا بالهوا سوا ولادي جننوني,والله يا اختي عم عاني مع ولادي بالتدريس
لا قبل شوي تغيديت.. شو بدنا ناكل !,جوعاني ؟
انسى مستحيل متل وطاويط الليل,لك يا زلمي هول ما بنامو
ايه و شو المطلوب! سكرنا المطعم لليوم لبكرا و عليك خير,مامااا انا جوعاني
يعني بعد كم يوم ؟ ايمتى ؟ اي ساعه ؟ شو بدي البس؟ شو بدنا نجيبلو هديه,اسبوع الجايه عيد ميلاد علي بدنا نروح انشاءالله
بكرا بس قولك شو رح يسالوني,ايمتى عندك مقابله الشغل
شايف بعدنا بالشتى و هيك الله يجيرنا,شو هل الشوب ولووو
"لا ما بدي، كتير بخاف من المرتفعات",شو رايك نجرب التلفريك هالاسبوع
والله ما عندي فكرة ما معي ساعة,حدا بيعرف قدي بعد في وقت ليبلش المسلسل
"ياعيني، ، كيف لقيت المتحف، عذوقك؟",مبارح زرت متحف الشمع لأول مرة بحياتي
"اكيد، شو الاسم الكريم","مرحبا، ممكن نتعرف"
الصيد بدو صبر و طولة بال,"ليش هلقد بتحب الصيد، والله انا بضيق خلقي"
والله التهيت بمحل التياب و راح عن بالي الوقت,"فكرت حالي ضيعتك، وين ختفيتي فجاة"
"يا هلا، اسه والله طقس حلو","صباح الخير، شو هالنهار الحلو"
لو سمحت بدنا نحجز طاولة ل ٢٠ شخص اليوم,"اهلا، كيف فيي ساعدكن"
"صح، و التغيير مش سهل",والله حاسة كل شي عم يتغير والدني مشقلبة
"كتير، توفقت بشغل حلو و بريح الراس",ما قلتيلي اذا بتحبي شغلك 
"يا هلا، لا ما بعتقد","مرحبا، كان تقابلنا من قبل"
ما بدي و أصلا انا مش معصبة,ممكن تريحي اعصابك شوي و بلا خناق
"انا مش بالمود، و ما قلي خلق",ايمتى ناوي تنضف غرفتك
اوف خير شو صاير شو اشبا ,اليوم اخدو اختي عالمستشفى
"في القلعة البرية و البحرية، هول احلى شي",شو في مناطق حلوق اقدر زورا بالمنطقة
"مرحبا جار، ايه و نحنا نبسطنا انو انت جارنا","مرحبا، انا جاركن الجديد، تشرفت بوجودكن بالحي"
عادتن بجرب هدي حالي و بسال حالي أي معصب,شو بتعمل لما تكون معصب
"لا ولو، نوعدنا فيك",انا بعتذر بس ما قادر اجي
طيب خلينا نقوم نقعد بالشمس,بردانة كتير لدرجة انو عم برجف
"مين بيهتم، المهم تكون حلوة",كتير غبية هالانسانة
"كيف يعني، شو هالآحاسيس هلق",لما نكون سوا بحس انو الوقت ما عم يمشي
حبيبتي وين بدن يساعو هول,بعرسي بدي اعزم كا اهل الضيعة
يالله رح دقلو شوف وينو,"أخيرا وصلتي، و بعد في التاني ليش هلقد ماخر"
"ما بعرف، شكلا مضايقة و عم تفش خلقا فينا",ليش المعلمة هيك صارت تعيط بنص الصف
"المفروض، فيها كذا معلم سياحي لان",المنطقة اللي ساكن فيها تعتبر اثرية
"الحق على خيي الزغير، بدي كسرو",ليش هيك وجك كلو شحابير
ايه و صار عندي رفقا جدد,"كبف المدرسة الجديدة، مرتاح"
"عيلتنا كتير كبيرة، في شي ١٥",ك ولد انتو بالعيلة
سقطت بامتحان السواقة و كتير مضايق,"شو بيك، مبين زعلان خير في شي"
بحس حتكون خطرة الشغلة بلاها,"يالله خلينا نروح عالمغارة، ليش خيفان"
مبلا اكيد مبارح اشتريتا و اليوم تفريغا,اشتريت السيارة عروقك او كيف
بدي استعير كتاب كرمال ادرس منو للامتحانات," المكتبة شوي و بتسكر، كيف فيي ساعدك"
لا خير في شي,سمعت الاخبار
"العما شو هالايام اللي وصلنالا، كبف نسرق؟","في خبرية مش حلوة، انسرق بيت رفيقنا اليوم"
ايه لحظة هلق بجيب ورقة و قلم,لازم نتفق عاسماء الناس اللي بدنا نعزما
اه ايه يالله هلق بفيقو تيحكيك,"مرحبا، ممكن تخبري خيك انو انا اتصلت و ناطرو"
بكرا الفجر طيارتي,ايمتا مسافر من غير الشر
عنجد كتير انبسطنا,كانت الحفلة روعة
ثواني بخلص اللي بايدي و بشوفا,هلق وصلتك رسالة فيك تشوفا لو سمحت
حيالله محل غير هون,لوين بدك تسافر و مع مين
هوي الصبح كانت مشمسة ما بعرف شو صار,مبارح نسيت شمسيتي و شتت عليي
طنجرة و لقت غطاها,هول التنين بروحو عالمطاعم سوا و دايمان مع بعض
كتير متعب بس منقول الحمدالله,شو كيف الشغل الجديد
"احلى شي السفر، ،اكتر شي بحب تركيا",بتحب السفر كتير او بيتوتي
"اوف سلامتك، طمني بس تصح",ما رح اقدر اجي اليوم معي اسهال
ماشي الحال أوضاع ما منيحة بس منقول الحمدالله,"كيفك شو الاخبار، الكل بخير"
الأسبوع الجاي عندي شغل بركي اللي بعدو,شو رايك نمشرعا عالبحر الأسبوع الاجاي
اليوم كان عيد ميلادي و ما حدا تذكر,"شو بيك كانو مش رايقة معك، صاير شي"
عطيني اخر فرصة و بوعدك اتغير,ايمتى حتوقف شرب؟ انا معش طايقة هيدا الوضع
